ORGANIZATION,PROGRAM,DESCRIPTION,YTD_AMOUNT,QTD_AMOUNT                                                                                                                                                                                                    
FISCAL YEAR 2025 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2475.77,2475.77
FISCAL YEAR 2025 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,1892.53,1892.53
FISCAL YEAR 2025 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,431145.24,431145.24
FISCAL YEAR 2025 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,431145.24,431145.24
FISCAL YEAR 2025 SERGEANT AT ARMS,PERSONNEL,PERSONNEL COMPENSATION,4235721.4,4235721.4
FISCAL YEAR 2025 SERGEANT AT ARMS,PERSONNEL,PERSONNEL TOTALS:,4235721.4,4235721.4
FISCAL YEAR 2025 SERGEANT AT ARMS,RECEPTIONS,SUPPLIES AND MATERIALS,44.32,44.32
FISCAL YEAR 2025 SERGEANT AT ARMS,RECEPTIONS,RECEPTIONS TOTALS:,44.32,44.32
FISCAL YEAR 2025 SERGEANT AT ARMS,RECEPTIONS,OFFICE TOTALS:,4235765.72,4235765.72
FISCAL YEAR 2025 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,387549.99,387549.99
FISCAL YEAR 2025 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,6168.2,6168.2
FISCAL YEAR 2025 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,295.34,295.34
FISCAL YEAR 2025 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,1176,1176
FISCAL YEAR 2025 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,395189.53,395189.53
FISCAL YEAR 2025 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,395189.53,395189.53
FISCAL YEAR 2025 COMPILATION OF PRECEDENTS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,102749.97,102749.97
FISCAL YEAR 2025 COMPILATION OF PRECEDENTS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,102749.97,102749.97
FISCAL YEAR 2025 COMPILATION OF PRECEDENTS,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,102749.97,102749.97
FISCAL YEAR 2025 TECHNICAL ASSISTANTS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,223000.02,223000.02
FISCAL YEAR 2025 TECHNICAL ASSISTANTS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,223000.02,223000.02
FISCAL YEAR 2025 TECHNICAL ASSISTANTS,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,223000.02,223000.02
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,TRAINING  PERSONNEL & DEVELOP,OTHER SERVICES,895,895
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,TRAINING  PERSONNEL & DEVELOP,TRAINING  PERSONNEL & DEVELOP TOTALS:,895,895
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,PERSONNEL COMPENSATION,119570.28,119570.28
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,2999.96,2999.96
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,OTHER SERVICES,17430.1,17430.1
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,SUPPLIES AND MATERIALS,232.03,232.03
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,EQUIPMENT,1116,1116
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,ADMIN AND OPS TOTALS:,141348.37,141348.37
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,PERSONNEL COMPENSATION,823795.03,823795.03
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,SUPPLIES AND MATERIALS,12869.84,12869.84
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,AUDIT  ADVISORY  INVESTIGATION TOTALS:,836664.87,836664.87
FISCAL YEAR 2025 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,OFFICE TOTALS:,978908.24,978908.24
FISCAL YEAR 2025 LAW REVISION COUNSEL,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,988.32,988.32
FISCAL YEAR 2025 LAW REVISION COUNSEL,ADMIN AND OPS,OTHER SERVICES,525,525
FISCAL YEAR 2025 LAW REVISION COUNSEL,ADMIN AND OPS,SUPPLIES AND MATERIALS,1559,1559
FISCAL YEAR 2025 LAW REVISION COUNSEL,ADMIN AND OPS,ADMIN AND OPS TOTALS:,3072.32,3072.32
FISCAL YEAR 2025 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,PERSONNEL COMPENSATION,504138.64,504138.64
FISCAL YEAR 2025 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,USC CODIFICATION & MAINTENANCE TOTALS:,504138.64,504138.64
FISCAL YEAR 2025 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,OFFICE TOTALS:,507210.96,507210.96
FISCAL YEAR 2025 LEGISLATIVE COUNSEL,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,36513.46,36513.46
FISCAL YEAR 2025 LEGISLATIVE COUNSEL,ADMIN AND OPS,PRINTING AND REPRODUCTION,114,114
FISCAL YEAR 2025 LEGISLATIVE COUNSEL,ADMIN AND OPS,SUPPLIES AND MATERIALS,27285.92,27285.92
FISCAL YEAR 2025 LEGISLATIVE COUNSEL,ADMIN AND OPS,EQUIPMENT,7435.28,7435.28
FISCAL YEAR 2025 LEGISLATIVE COUNSEL,ADMIN AND OPS,ADMIN AND OPS TOTALS:,71348.66,71348.66
FISCAL YEAR 2025 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,PERSONNEL COMPENSATION,3526395.07,3526395.07
FISCAL YEAR 2025 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,DRAFTING LEGISLATION TOTALS:,3526395.07,3526395.07
FISCAL YEAR 2025 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,OFFICE TOTALS:,3597743.73,3597743.73
FISCAL YEAR 2025 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,169087.5,169087.5
FISCAL YEAR 2025 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,2488.45,2488.45
FISCAL YEAR 2025 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2743.32,2743.32
FISCAL YEAR 2025 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,174319.27,174319.27
FISCAL YEAR 2025 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,174319.27,174319.27
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,20740.9,20740.9
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,527.01,527.01
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,260743.85,260743.85
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,51760.87,51760.87
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,828753.67,828753.67
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,1162526.3,1162526.3
FISCAL YEAR 2025 CLERK OF THE HOUSE,LIMS,OTHER SERVICES,385644.72,385644.72
FISCAL YEAR 2025 CLERK OF THE HOUSE,LIMS,EQUIPMENT,60000,60000
FISCAL YEAR 2025 CLERK OF THE HOUSE,LIMS,LIMS TOTALS:,445644.72,445644.72
FISCAL YEAR 2025 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,OTHER SERVICES,5760.69,5760.69
FISCAL YEAR 2025 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,EQUIPMENT,11853,11853
FISCAL YEAR 2025 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,ELECTRONIC VOTING SYSTEM TOTALS:,17613.69,17613.69
FISCAL YEAR 2025 CLERK OF THE HOUSE,HOUSE MODERNIZATION INITIATIVE,OTHER SERVICES,148322.1,148322.1
FISCAL YEAR 2025 CLERK OF THE HOUSE,HOUSE MODERNIZATION INITIATIVE,HOUSE MODERNIZATION INITIATIVE TOTALS:,148322.1,148322.1
FISCAL YEAR 2025 CLERK OF THE HOUSE,EXERCISES ACTIVITY,TRAVEL,794.59,794.59
FISCAL YEAR 2025 CLERK OF THE HOUSE,EXERCISES ACTIVITY,TRANSPORTATION OF THINGS,1335,1335
FISCAL YEAR 2025 CLERK OF THE HOUSE,EXERCISES ACTIVITY,OTHER SERVICES,1370,1370
FISCAL YEAR 2025 CLERK OF THE HOUSE,EXERCISES ACTIVITY,EQUIPMENT,846294.7,846294.7
FISCAL YEAR 2025 CLERK OF THE HOUSE,EXERCISES ACTIVITY,EXERCISES ACTIVITY TOTALS:,849794.29,849794.29
FISCAL YEAR 2025 CLERK OF THE HOUSE,EXERCISES ACTIVITY,OFFICE TOTALS:,2623901.1,2623901.1
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,TRAVEL,6347.12,6347.12
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,OTHER SERVICES,1329.25,1329.25
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,SUPPLIES AND MATERIALS,25135,25135
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,NON - PERSONNEL TOTALS:,32811.37,32811.37
FISCAL YEAR 2025 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,TRAVEL,232517.69,232517.69
FISCAL YEAR 2025 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,OTHER SERVICES,24446.14,24446.14
FISCAL YEAR 2025 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,OVERSEAS TRVL CAP POLICE REIMB TOTALS:,256963.83,256963.83
FISCAL YEAR 2025 SERGEANT AT ARMS,GUNSHOT DETECTION SYSTEM,OTHER SERVICES,204750,204750
FISCAL YEAR 2025 SERGEANT AT ARMS,GUNSHOT DETECTION SYSTEM,GUNSHOT DETECTION SYSTEM TOTALS:,204750,204750
FISCAL YEAR 2025 SERGEANT AT ARMS,RAPID ALERT SYSTEM PILOT PROG,OTHER SERVICES,64000,64000
FISCAL YEAR 2025 SERGEANT AT ARMS,RAPID ALERT SYSTEM PILOT PROG,RAPID ALERT SYSTEM PILOT PROG TOTALS:,64000,64000
FISCAL YEAR 2025 SERGEANT AT ARMS,RESIDENTIAL SECURITY PROGRAM,OTHER SERVICES,6357.85,6357.85
FISCAL YEAR 2025 SERGEANT AT ARMS,RESIDENTIAL SECURITY PROGRAM,RESIDENTIAL SECURITY PROGRAM TOTALS:,6357.85,6357.85
FISCAL YEAR 2025 SERGEANT AT ARMS,JOINT AUDIBLE WARNING SYSTEM,EQUIPMENT,433455.76,433455.76
FISCAL YEAR 2025 SERGEANT AT ARMS,JOINT AUDIBLE WARNING SYSTEM,JOINT AUDIBLE WARNING SYSTEM TOTALS:,433455.76,433455.76
FISCAL YEAR 2025 SERGEANT AT ARMS,JOINT AUDIBLE WARNING SYSTEM,OFFICE TOTALS:,998338.81,998338.81
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,TRAVEL,22770.67,22770.67
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,RENT  COMMUNICATION  UTILITIES,32807.83,32807.83
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,PRINTING AND REPRODUCTION,3766.25,3766.25
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,OTHER SERVICES,38600.75,38600.75
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,SUPPLIES AND MATERIALS,44422.57,44422.57
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,EQUIPMENT,28977.49,28977.49
FISCAL YEAR 2025 SERGEANT AT ARMS,NON - PERSONNEL,NON - PERSONNEL TOTALS:,171345.56,171345.56
FISCAL YEAR 2025 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT,RENT  COMMUNICATION  UTILITIES,410,410
FISCAL YEAR 2025 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT,OTHER SERVICES,10801,10801
FISCAL YEAR 2025 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT,MEMB DSTOFF SECUR ASSMNT TOTALS:,11211,11211
FISCAL YEAR 2025 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT OTH,OTHER SERVICES,70.45,70.45
FISCAL YEAR 2025 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT OTH,MEMB DSTOFF SECUR ASSMNT OTH TOTALS:,70.45,70.45
FISCAL YEAR 2025 SERGEANT AT ARMS,RESIDENTIAL SECURITY CYBER,OTHER SERVICES,82435.93,82435.93
FISCAL YEAR 2025 SERGEANT AT ARMS,RESIDENTIAL SECURITY CYBER,RESIDENTIAL SECURITY CYBER TOTALS:,82435.93,82435.93
FISCAL YEAR 2025 SERGEANT AT ARMS,SEC. AWARENESS BRIEFING- TRVL,TRAVEL,5639.5,5639.5
FISCAL YEAR 2025 SERGEANT AT ARMS,SEC. AWARENESS BRIEFING- TRVL,SEC. AWARENESS BRIEFING- TRVL TOTALS:,5639.5,5639.5
FISCAL YEAR 2025 SERGEANT AT ARMS,DIST. SEC. SRVC. CENTER- TRVL,TRAVEL,20.63,20.63
FISCAL YEAR 2025 SERGEANT AT ARMS,DIST. SEC. SRVC. CENTER- TRVL,DIST. SEC. SRVC. CENTER- TRVL TOTALS:,20.63,20.63
FISCAL YEAR 2025 SERGEANT AT ARMS,RESIDENTIAL SECURITY PROGRAM,OTHER SERVICES,70525.91,70525.91
FISCAL YEAR 2025 SERGEANT AT ARMS,RESIDENTIAL SECURITY PROGRAM,RESIDENTIAL SECURITY PROGRAM TOTALS:,70525.91,70525.91
FISCAL YEAR 2025 SERGEANT AT ARMS,RESIDENTIAL SECURITY PROGRAM,OFFICE TOTALS:,341248.98,341248.98
FISCAL YEAR 2025 CAO MEMBER EQUIPMENT PROGRAM,CAO EQUIPMENT PROGRAM,SUPPLIES AND MATERIALS,157245.45,157245.45
FISCAL YEAR 2025 CAO MEMBER EQUIPMENT PROGRAM,CAO EQUIPMENT PROGRAM,EQUIPMENT,-647166,-647166
FISCAL YEAR 2025 CAO MEMBER EQUIPMENT PROGRAM,CAO EQUIPMENT PROGRAM,CAO EQUIPMENT PROGRAM TOTALS:,-489920.55,-489920.55
FISCAL YEAR 2025 CAO MEMBER EQUIPMENT PROGRAM,CAO EQUIPMENT PROGRAM,OFFICE TOTALS:,-489920.55,-489920.55
FISCAL YEAR 2025 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,TRAVEL,926913.42,926913.42
FISCAL YEAR 2025 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,RENT  COMMUNICATION  UTILITIES,51481.9,51481.9
FISCAL YEAR 2025 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,SUPPLIES AND MATERIALS,47573.18,47573.18
FISCAL YEAR 2025 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,NEW MEMBERS ORIENTATION TOTALS:,1025968.5,1025968.5
FISCAL YEAR 2025 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,OFFICE TOTALS:,1025968.5,1025968.5
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,356.92,0
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,473600,0
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,508.11,0
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,80344.36,0
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,55.5,0
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25710.9,0
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1699.84,0
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3788.4,0
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,586064.03,0
2024 HON. 20TH DISTRICT OF CALIFORNIA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,586064.03,0
2024 HON. 3RD DISTRICT OF NEW YORK,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,23.3,0
2024 HON. 3RD DISTRICT OF NEW YORK,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,154902.76,-1250
2024 HON. 3RD DISTRICT OF NEW YORK,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,27821.53,0
2024 HON. 3RD DISTRICT OF NEW YORK,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9115.22,0
2024 HON. 3RD DISTRICT OF NEW YORK,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,242.3,0
2024 HON. 3RD DISTRICT OF NEW YORK,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,906,0
2024 HON. 3RD DISTRICT OF NEW YORK,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,193011.11,-1250
2024 HON. 3RD DISTRICT OF NEW YORK,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,193011.11,-1250
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,18175.53,16053.21
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1289619.59,343380.53
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,94990.89,19837.63
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,134583.81,31983.75
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,27451.78,24529.84
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36946.09,11122.52
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,38317.76,14092.33
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2364,591
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1642449.45,461590.81
2024 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1642449.45,461590.81
2024 HON. ALMA S. ADAMS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,37328.45,2580
2024 HON. ALMA S. ADAMS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,37328.45,2580
2024 HON. ALMA S. ADAMS,INTERN ALLOWANCES,OFFICE TOTALS:,37328.45,2580
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10176.02,333.68
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1420002.64,426044.35
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,201961.76,46222.65
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,35604.5,10184.67
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,31842.58,16230.85
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4683.53,9.51
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,50808.59,26916.86
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10226.87,3936.9
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1765306.49,529879.47
2024 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1765306.49,529879.47
2024 HON. ROBERT B. ADERHOLT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,39683.3,2800
2024 HON. ROBERT B. ADERHOLT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,39683.3,2800
2024 HON. ROBERT B. ADERHOLT,INTERN ALLOWANCES,OFFICE TOTALS:,39683.3,2800
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,66005.49,207.66
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1291114.61,353305.47
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,82537.19,18980.74
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,55217.28,30042.75
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,157471.55,22355.36
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,50663.09,12339.94
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,31921.57,7033.56
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4087.1,1140
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1739017.88,445405.48
2024 HON. PETE AGUILAR,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1739017.88,445405.48
2024 HON. PETE AGUILAR,INTERN ALLOWANCES,PERSONNEL COMPENSATION,41493,16370
2024 HON. PETE AGUILAR,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,41493,16370
2024 HON. PETE AGUILAR,INTERN ALLOWANCES,OFFICE TOTALS:,41493,16370
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,37362.76,13103.42
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1266910.13,384425.04
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,119701.43,21678.95
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,67561.13,20802.3
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,118278,39481.73
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,53282.44,22327.77
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,41136.9,16078.01
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11377.48,3939.19
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1715610.27,521836.41
2024 HON. MARK ALFORD,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1715610.27,521836.41
2024 HON. MARK ALFORD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,32980,7760
2024 HON. MARK ALFORD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,32980,7760
2024 HON. MARK ALFORD,INTERN ALLOWANCES,OFFICE TOTALS:,32980,7760
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,83471.48,5274.77
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1407576.02,392637.47
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,81345.79,30244.25
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,39.5,11.85
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,81381.2,29786.65
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,115080.5,817.84
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18015.5,8902.1
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,20148.33,7505.11
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7908.14,1226.79
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1814966.46,476406.83
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1814966.46,476406.83
2024 HON. RICK W. ALLEN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,37950,9000
2024 HON. RICK W. ALLEN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,37950,9000
2024 HON. RICK W. ALLEN,INTERN ALLOWANCES,OFFICE TOTALS:,37950,9000
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,185.36,132.13
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1521032.8,600157.6
